name,from,to,reason
帮助与引导 (1).png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/帮助与引导 (1).png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_订单客服会员/帮助与引导 (1).png,同批后台订单客服会员UI归入蜂乐玛
帮助与引导.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/帮助与引导.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2025-11_商城前台_会员订单购物车/帮助与引导.png,同批商城前台UI归入蜂乐玛
待处理任务点击详情 副本.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/待处理任务点击详情 副本.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_订单客服会员/待处理任务点击详情 副本.png,同批后台订单客服会员UI归入蜂乐玛
待处理任务点击详情.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/待处理任务点击详情.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_订单客服会员/待处理任务点击详情.png,同批后台订单客服会员UI归入蜂乐玛
我的订单 (1).png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/我的订单 (1).png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_订单客服会员/我的订单 (1).png,同批后台订单客服会员UI归入蜂乐玛
我的订单 -缺省页 (1).png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/我的订单 -缺省页 (1).png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_订单客服会员/我的订单 -缺省页 (1).png,同批后台订单客服会员UI归入蜂乐玛
我的订单 -缺省页.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/我的订单 -缺省页.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2025-11_商城前台_会员订单购物车/我的订单 -缺省页.png,同批商城前台UI归入蜂乐玛
我的订单.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/我的订单.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2025-11_商城前台_会员订单购物车/我的订单.png,同批商城前台UI归入蜂乐玛
操作台-订单详情 副本.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/操作台-订单详情 副本.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_订单客服会员/操作台-订单详情 副本.png,同批后台订单客服会员UI归入蜂乐玛
操作台-订单详情.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/操作台-订单详情.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_订单客服会员/操作台-订单详情.png,同批后台订单客服会员UI归入蜂乐玛
支付宝 提现金额-错误提示.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/支付宝 提现金额-错误提示.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_订单客服会员/支付宝 提现金额-错误提示.png,同批后台订单客服会员UI归入蜂乐玛
收益 提现 支付宝.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/收益 提现 支付宝.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_订单客服会员/收益 提现 支付宝.png,同批后台订单客服会员UI归入蜂乐玛
新增收货地址 (1).png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/新增收货地址 (1).png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_订单客服会员/新增收货地址 (1).png,同批后台订单客服会员UI归入蜂乐玛
新增收货地址-填写 (1).png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/新增收货地址-填写 (1).png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_订单客服会员/新增收货地址-填写 (1).png,同批后台订单客服会员UI归入蜂乐玛
新增收货地址-填写.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/新增收货地址-填写.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2025-11_商城前台_会员订单购物车/新增收货地址-填写.png,同批商城前台UI归入蜂乐玛
新增收货地址.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/新增收货地址.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2025-11_商城前台_会员订单购物车/新增收货地址.png,同批商城前台UI归入蜂乐玛
新用户-绑定手机 (1).png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/新用户-绑定手机 (1).png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_订单客服会员/新用户-绑定手机 (1).png,同批后台订单客服会员UI归入蜂乐玛
新用户-绑定手机 copy (1).png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/新用户-绑定手机 copy (1).png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_订单客服会员/新用户-绑定手机 copy (1).png,同批后台订单客服会员UI归入蜂乐玛
新用户-绑定手机 copy.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/新用户-绑定手机 copy.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2025-11_商城前台_会员订单购物车/新用户-绑定手机 copy.png,同批商城前台UI归入蜂乐玛
新用户-绑定手机.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/新用户-绑定手机.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2025-11_商城前台_会员订单购物车/新用户-绑定手机.png,同批商城前台UI归入蜂乐玛
活动详情页.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/活动详情页.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_订单客服会员/活动详情页.png,同批后台订单客服会员UI归入蜂乐玛
点击修改地址时 (1).png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/点击修改地址时 (1).png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_订单客服会员/点击修改地址时 (1).png,同批后台订单客服会员UI归入蜂乐玛
点击修改地址时.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/点击修改地址时.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2025-11_商城前台_会员订单购物车/点击修改地址时.png,同批商城前台UI归入蜂乐玛
点击搜索订单.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/点击搜索订单.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_订单客服会员/点击搜索订单.png,同批后台订单客服会员UI归入蜂乐玛
等待商家处理 退款退货.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/等待商家处理 退款退货.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_订单客服会员/等待商家处理 退款退货.png,同批后台订单客服会员UI归入蜂乐玛
等待商家处理.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/等待商家处理.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_订单客服会员/等待商家处理.png,同批后台订单客服会员UI归入蜂乐玛
等待商家收货 (1).png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/等待商家收货 (1).png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_订单客服会员/等待商家收货 (1).png,同批后台订单客服会员UI归入蜂乐玛
等待商家收货.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/等待商家收货.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_订单客服会员/等待商家收货.png,同批后台订单客服会员UI归入蜂乐玛
类别详情-128升级.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/类别详情-128升级.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_订单客服会员/类别详情-128升级.png,同批后台订单客服会员UI归入蜂乐玛
绑定手机-验证错误.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/绑定手机-验证错误.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_订单客服会员/绑定手机-验证错误.png,同批后台订单客服会员UI归入蜂乐玛
订单详情 -交易成功 (1).png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/订单详情 -交易成功 (1).png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_订单客服会员/订单详情 -交易成功 (1).png,同批后台订单客服会员UI归入蜂乐玛
订单详情 -交易成功.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/订单详情 -交易成功.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2025-11_商城前台_会员订单购物车/订单详情 -交易成功.png,同批商城前台UI归入蜂乐玛
订单详情 -待付款 (1).png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/订单详情 -待付款 (1).png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_订单客服会员/订单详情 -待付款 (1).png,同批后台订单客服会员UI归入蜂乐玛
订单详情 -待付款.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/订单详情 -待付款.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2025-11_商城前台_会员订单购物车/订单详情 -待付款.png,同批商城前台UI归入蜂乐玛
订单详情 已发货 -拆单.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/订单详情 已发货 -拆单.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_订单客服会员/订单详情 已发货 -拆单.png,同批后台订单客服会员UI归入蜂乐玛
订单详情 退款.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/订单详情 退款.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_订单客服会员/订单详情 退款.png,同批后台订单客服会员UI归入蜂乐玛
订单详情- 待发货-单件 (1).png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/订单详情- 待发货-单件 (1).png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_订单客服会员/订单详情- 待发货-单件 (1).png,同批后台订单客服会员UI归入蜂乐玛
订单详情- 待发货-单件.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/订单详情- 待发货-单件.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2025-11_商城前台_会员订单购物车/订单详情- 待发货-单件.png,同批商城前台UI归入蜂乐玛
订单详情- 待发货-多件（可批量退款）.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/订单详情- 待发货-多件（可批量退款）.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_订单客服会员/订单详情- 待发货-多件（可批量退款）.png,同批后台订单客服会员UI归入蜂乐玛
订单详情- 待发货-退款成功+退款中状态.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/订单详情- 待发货-退款成功+退款中状态.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_订单客服会员/订单详情- 待发货-退款成功+退款中状态.png,同批后台订单客服会员UI归入蜂乐玛
订单详情-交易关闭 (1).png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/订单详情-交易关闭 (1).png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_订单客服会员/订单详情-交易关闭 (1).png,同批后台订单客服会员UI归入蜂乐玛
订单详情-交易关闭.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/订单详情-交易关闭.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2025-11_商城前台_会员订单购物车/订单详情-交易关闭.png,同批商城前台UI归入蜂乐玛
订单详情-已发货-未拆单.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/订单详情-已发货-未拆单.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_订单客服会员/订单详情-已发货-未拆单.png,同批后台订单客服会员UI归入蜂乐玛
购物车 (1).png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/购物车 (1).png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_订单客服会员/购物车 (1).png,同批后台订单客服会员UI归入蜂乐玛
购物车-缺省页 (1).png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/购物车-缺省页 (1).png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_订单客服会员/购物车-缺省页 (1).png,同批后台订单客服会员UI归入蜂乐玛
购物车-缺省页.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/购物车-缺省页.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2025-11_商城前台_会员订单购物车/购物车-缺省页.png,同批商城前台UI归入蜂乐玛
购物车.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/购物车.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2025-11_商城前台_会员订单购物车/购物车.png,同批商城前台UI归入蜂乐玛
首页  专属客服.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/首页  专属客服.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_订单客服会员/首页  专属客服.png,同批后台订单客服会员UI归入蜂乐玛
首页 (1).png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/首页 (1).png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2025-11_商城前台_会员订单购物车/首页 (1).png,同批商城前台UI归入蜂乐玛
首页 (2).png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/首页 (2).png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2025-11_商城前台_会员订单购物车/首页 (2).png,同批商城前台UI归入蜂乐玛
首页 (3).png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/首页 (3).png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2025-11_商城前台_会员订单购物车/首页 (3).png,同批商城前台UI归入蜂乐玛
首页 (4).png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/首页 (4).png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2025-11_商城前台_会员订单购物车/首页 (4).png,同批商城前台UI归入蜂乐玛
首页-升级提示 (1).png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/首页-升级提示 (1).png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_订单客服会员/首页-升级提示 (1).png,同批后台订单客服会员UI归入蜂乐玛
首页-升级提示.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/首页-升级提示.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2025-11_商城前台_会员订单购物车/首页-升级提示.png,同批商城前台UI归入蜂乐玛
首页.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/首页.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2025-11_商城前台_会员订单购物车/首页.png,同批商城前台UI归入蜂乐玛
今日-时间选择.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/通用素材/今日-时间选择.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_微信社群/今日-时间选择.png,同批推广/社群/体验官素材归入蜂乐玛
今日新增VIP.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/通用素材/今日新增VIP.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_微信社群/今日新增VIP.png,同批推广/社群/体验官素材归入蜂乐玛
